	ECAH1	ECAH2	ECAH3	P2_a	P2_b	P2_c	ECG1	ECG2	ECG3	ORAPG1	ORAPG2	ORAPG3	P3_a	P3_b	P3_c
Pocillopora_acuta_HIv2___RNAseq.19893_t	98	68	51	15	23	11	37	87	86	39	71	73	72	36	51
Pocillopora_acuta_HIv2___RNAseq.19904_t	30	16	23	18	58	42	12	10	9	14	8	15	37	28	28
Pocillopora_acuta_HIv2___RNAseq.199_t	22	14	20	10	16	16	27	29	19	10	12	18	21	15	16
Pocillopora_acuta_HIv2___RNAseq.20026_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.20038_t	2	2	3	3	13	5	0	0	0	2	1	1	16	5	11
Pocillopora_acuta_HIv2___RNAseq.20079_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.20164_t	2	2	2	1	0	1	0	2	0	3	0	2	0	0	0
Pocillopora_acuta_HIv2___RNAseq.20199_t	43	33	37	22	47	37	19	24	20	20	22	21	107	64	69
Pocillopora_acuta_HIv2___RNAseq.20239_t	3	1	1	0	7	1	3	1	2	1	2	0	4	6	4
Pocillopora_acuta_HIv2___RNAseq.20265_t	1	2	2	0	1	1	2	0	0	0	0	0	2	0	1
Pocillopora_acuta_HIv2___RNAseq.20293_t	0	1	1	3	5	4	6	0	3	0	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.20294_t	2	3	3	0	0	0	1	1	0	0	1	0	1	1	0
Pocillopora_acuta_HIv2___RNAseq.20322_t	12	13	8	9	16	7	10	8	16	4	9	7	13	11	13
Pocillopora_acuta_HIv2___RNAseq.20324_t	20	16	20	9	22	15	26	23	17	26	20	22	38	21	32
Pocillopora_acuta_HIv2___RNAseq.2046_t	6	4	4	11	7	7	2	5	3	6	7	5	19	11	20
Pocillopora_acuta_HIv2___RNAseq.2047_t	16	12	10	10	16	10	6	6	7	11	6	11	26	12	14
Pocillopora_acuta_HIv2___RNAseq.20490_t	55	52	54	56	71	48	41	49	46	33	36	24	68	46	71
Pocillopora_acuta_HIv2___RNAseq.20525_t	98	147	81	493	571	450	61	69	81	50	56	65	956	520	829
Pocillopora_acuta_HIv2___RNAseq.20573_t	15	15	20	29	48	17	19	13	19	9	12	7	75	34	65
Pocillopora_acuta_HIv2___RNAseq.20623_t	8	6	3	18	33	21	2	1	3	7	7	4	28	17	20
Pocillopora_acuta_HIv2___RNAseq.20654_t	32	32	27	10	18	10	5	12	12	5	6	3	40	17	17
Pocillopora_acuta_HIv2___RNAseq.20675_t	4	1	3	1	2	1	9	5	1	0	2	6	0	0	1
Pocillopora_acuta_HIv2___RNAseq.2070_t	9	2	5	0	7	3	2	3	0	0	2	1	6	3	4
Pocillopora_acuta_HIv2___RNAseq.20818_t	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Pocillopora_acuta_HIv2___RNAseq.20880_t	106	73	66	68	132	127	79	79	105	47	72	80	197	109	174
Pocillopora_acuta_HIv2___RNAseq.20930_t	13	5	2	110	158	103	6	5	2	7	6	7	137	103	185
Pocillopora_acuta_HIv2___RNAseq.20932_t	10	3	2	2	2	4	9	10	8	5	7	5	9	7	10
